accountCode,accountClass,accountType,isPartnerAllowed,pcName,isNotAllocated,crName,isNotAllocated,isVKAllowed,isSEANAllowed,external,dataScenarioType,partnerCode,currencyCode
Code,Logistics,,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,AllocationFormula,,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,BalanceSheet,,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,BalanceSheet,,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,BalanceSheet,AssetPartner,true,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,BalanceSheet,AssetPartner,true,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,BalanceSheet,,true,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,BalanceSheet,,true,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,Customer,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,Customer,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,Customer,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,Customer,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalyses,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,true,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,true,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,false,CRComponent,false,false,false,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,false,CRComponent,true,true,true,TRUE,Actual,null,null
Code,SalesReporting,SpecialAnalysesNumOfInvoicingDays,false,ProfitCenter,false,CRComponent,false,true,true,TRUE,Actual,null,null
Code,SalesReporting,SML,false,ProfitCenter,true,CRComponent,false,false,false,TRUE,Actual,null,null
